category,method,path,base_url,summary,tags,deprecated,official_docs
partner-api,POST,/v2/reports/goods-turnover/generate,https://api.partner.market.yandex.ru,Отчет по оборачиваемости,reports; fby,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/reports/info/{reportId},https://api.partner.market.yandex.ru,Получение заданного отчета или документа,reports; fby; dbs; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/reports/jewelry-fiscal/generate,https://api.partner.market.yandex.ru,Отчет по заказам с ювелирными изделиями,reports; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/reports/key-indicators/generate,https://api.partner.market.yandex.ru,Отчет по ключевым показателям,reports; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/reports/sales-geography/generate,https://api.partner.market.yandex.ru,Отчет по географии продаж,reports; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/reports/shelf-statistics/generate,https://api.partner.market.yandex.ru,Отчет по полкам,reports; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/reports/shows-boost/generate,https://api.partner.market.yandex.ru,Отчет по бусту показов,reports; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/reports/shows-sales/generate,https://api.partner.market.yandex.ru,Отчет «Аналитика продаж»,reports; fby; dbs; fbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/reports/stocks-on-warehouses/generate,https://api.partner.market.yandex.ru,Отчет по остаткам на складах,reports; fby; fbs; dbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/reports/united-marketplace-services/generate,https://api.partner.market.yandex.ru,Отчет по стоимости услуг,reports; fby; dbs; fbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/reports/united-netting/generate,https://api.partner.market.yandex.ru,Отчет по платежам,reports; fby; dbs; fbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/reports/united-orders/generate,https://api.partner.market.yandex.ru,Отчет по заказам,reports; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/reports/united-returns/generate,https://api.partner.market.yandex.ru,Отчет по невыкупам и возвратам,reports; fby; fbs; dbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/tariffs/calculate,https://api.partner.market.yandex.ru,Калькулятор стоимости услуг,tariffs; fbs; fby; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/warehouses,https://api.partner.market.yandex.ru,Идентификаторы фулфилмент-складов Маркета,warehouses; fby; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v3/businesses/{businessId}/offers/stocks,https://api.partner.market.yandex.ru,Информация об остатках,stocks; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v3/businesses/{businessId}/offers/stocks/update,https://api.partner.market.yandex.ru,Передача информации об остатках,stocks; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v3/businesses/{businessId}/reports/stocks/generate,https://api.partner.market.yandex.ru,Отчет по остаткам на складах партнера,reports; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v3/businesses/{businessId}/warehouse/models/status,https://api.partner.market.yandex.ru,Включение/выключение модели работы склада,warehouses; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v3/businesses/{businessId}/warehouses,https://api.partner.market.yandex.ru,Список складов,warehouses; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
