category,method,path,base_url,summary,tags,deprecated,official_docs
performance,GET,/api/client/statistics/campaign/product,https://api-performance.ozon.ru:443,Статистика по кампании Оплата за клик,Statistics; Статистика,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/statistics/daily,https://api-performance.ozon.ru:443,Дневная статистика по кампаниям,Statistics; Статистика,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/statistics/expense,https://api-performance.ozon.ru:443,Статистика по расходу кампаний,Statistics; Статистика,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/statistics/externallist,https://api-performance.ozon.ru:443,"Список отчётов, сгенерированных через API",Statistics; Статистика,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/statistics/list,https://api-performance.ozon.ru:443,"Список отчётов, сгенерированных через интерфейс",Statistics; Статистика,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/statistics/phrases,https://api-performance.ozon.ru:443,Отчёт по поисковым запросам,Statistics; Статистика,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/statistics/products/sku,https://api-performance.ozon.ru:443,Получить статистику по товарам в оплате за клик,Statistics; Статистика,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/statistics/report,https://api-performance.ozon.ru:443,Получить отчёты,Statistics; Статистика,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/statistics/video,https://api-performance.ozon.ru:443,Статистика по показам видеобаннера,Statistics; Статистика,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/statistics/{UUID},https://api-performance.ozon.ru:443,Cтатус отчёта,Statistics; Статистика,False,https://docs.ozon.ru/api/performance/
performance,POST,/api/client/vendors/statistics,https://api-performance.ozon.ru:443,Отчёт с аналитикой внешнего трафика,Vendor; Аналитика внешнего трафика,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/vendors/statistics/list,https://api-performance.ozon.ru:443,Список запрошенных отчётов с аналитикой внешнего трафика,Vendor; Аналитика внешнего трафика,False,https://docs.ozon.ru/api/performance/
performance,GET,/api/client/vendors/statistics/{UUID},https://api-performance.ozon.ru:443,Информация об отчёте по UUID,Vendor; Аналитика внешнего трафика,False,https://docs.ozon.ru/api/performance/
performance,POST,/external/api/dynamic_budget,https://api-performance.ozon.ru:443,Рассчитать минимальный бюджет кампании,Ad; Оплата за клик,True,https://docs.ozon.ru/api/performance/
seller,GET,/v1/actions,https://api-seller.ozon.ru,Список акций,Promos; Акции Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/actions/auto-add/products/candidates,https://api-seller.ozon.ru,Получить список доступных товаров для автодобавления в акцию,PromosBeta; Акции Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/actions/auto-add/products/delete,https://api-seller.ozon.ru,Удалить товары из автодобавления в акцию,PromosBeta; Акции Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/actions/auto-add/products/list,https://api-seller.ozon.ru,Получить список товаров из автодобавления в акцию,PromosBeta; Акции Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/actions/auto-add/products/update,https://api-seller.ozon.ru,Добавить или обновить товары в автодобавлении в акцию,PromosBeta; Акции Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/actions/candidates,https://api-seller.ozon.ru,Список доступных для акции товаров,Promos; Акции Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/actions/discounts-task/approve,https://api-seller.ozon.ru,Согласовать заявку на скидку,Promos; Акции Ozon,False,https://docs.ozon.ru/api/seller/
seller,POST,/v1/actions/discounts-task/decline,https://api-seller.ozon.ru,Отклонить заявку на скидку,Promos; Акции Ozon,False,https://docs.ozon.ru/api/seller/
